Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
9/2/2019,8,6, 87 ,546.55
9/2/2019,7,6, 61 ,2500
9/2/2019,5,6, 91 ,207.58
9/2/2019,6,6, 69 ,40
9/2/2019,7,1, 66 ,550
9/2/2019,5,1, 73 ,260
9/2/2019,5,1, 66 ,298
9/2/2019,4,1, 69 ,95
9/2/2019,8,1, 84 ,200
9/2/2019,3,7, 80 ,100
9/2/2019,3,7, 61 ,480
9/2/2019,6,5, 80 ,200
9/2/2019,6,2, 85 ,23
9/3/2019,8,6, 57 ,8900
9/3/2019,8,6, 84 ,140.48
9/3/2019,7,6, 101 ,561151
9/3/2019,5,6, 74 ,200
9/3/2019,5,6, 81 ,480
9/3/2019,5,6, 56 ,71400
9/3/2019,5,6, 94 ,13986
9/3/2019,5,6, 74 ,180
9/3/2019,4,6, 60 ,22700
9/3/2019,4,6, 57 ,3308
9/3/2019,3,6, 87 ,380
9/3/2019,3,6, 53 ,9100
9/3/2019,7,1, 92 ,444
9/3/2019,7,1, 81 ,689
9/3/2019,7,1, 71 ,90
9/3/2019,6,1, 87 ,480
9/3/2019,5,1, 67 ,160
9/3/2019,4,1, 92 ,529.42
9/3/2019,4,1, 71 ,110
9/3/2019,8,1, 94 ,336.83
9/3/2019,8,1, 74 ,337.45
9/3/2019,3,1, 60 ,21780
9/3/2019,5,1, 83 ,200
9/3/2019,3,7, 90 ,92
9/3/2019,6,4, 92 ,280
9/3/2019,6,4, 68 ,113
9/3/2019,6,3, 78 ,173
9/3/2019,6,5, 71 ,40
9/3/2019,6,2, 87 ,200
9/3/2019,6,2, 66 ,101
9/4/2019,8,6, 69 ,27.7
9/4/2019,8,6, 66 ,200
9/4/2019,8,6, 80 ,480
9/4/2019,7,6, 56 ,171300
9/4/2019,7,6, 91 ,138
9/4/2019,5,6, 61 ,4108
9/4/2019,4,6, 94 ,2612
9/4/2019,4,6, 73 ,234
9/4/2019,3,6, 69 ,25
9/4/2019,6,6, 73 ,243
9/4/2019,7,1, 65 ,680
9/4/2019,6,1, 76 ,237
9/4/2019,5,1, 90 ,266
9/4/2019,4,1, 91 ,290.46
9/4/2019,4,1, 76 ,599
9/4/2019,8,1, 83 ,304.12
9/4/2019,8,1, 78 ,340.48
9/4/2019,8,1, 73 ,300
9/4/2019,8,1, 77 ,650
9/4/2019,3,1, 61 ,2000
9/4/2019,5,1, 68 ,200
9/4/2019,8,2, 76 ,234.42
9/4/2019,3,7, 78 ,46
9/4/2019,3,7, 71 ,15
9/4/2019,3,7, 69 ,11
9/4/2019,3,7, 74 ,111
9/4/2019,6,4, 90 ,210
9/4/2019,6,3, 83 ,150
9/4/2019,6,3, 82 ,43
9/4/2019,6,3, 77 ,550
9/4/2019,6,5, 89 ,71.44
9/5/2019,8,6, 81 ,280
9/5/2019,8,6, 68 ,104.11
9/5/2019,8,6, 67 ,140.48
9/5/2019,7,6, 53 ,16834
9/5/2019,5,6, 65 ,380
9/5/2019,5,6, 66 ,364
9/5/2019,4,6, 62 ,1600
9/5/2019,3,6, 84 ,80
9/5/2019,3,6, 94 ,7822
9/5/2019,3,6, 89 ,123
9/5/2019,6,6, 101 ,165931
9/5/2019,6,6, 71 ,42
9/5/2019,7,1, 67 ,280
9/5/2019,6,1, 91 ,179
9/5/2019,6,1, 87 ,410
9/5/2019,6,1, 83 ,100
9/5/2019,5,1, 94 ,221.13
9/5/2019,5,1, 94 ,243
9/5/2019,5,1, 85 ,160
9/5/2019,4,1, 85 ,228
9/5/2019,8,1, 77 ,1102.62
9/5/2019,8,1, 69 ,82.9
9/5/2019,5,1, 67 ,200
