Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
11/2/2021,7,6, 56 ,194648.64
11/2/2021,5,6, 63 ,8807
11/2/2021,5,6, 61 ,5603
11/2/2021,4,6, 90 ,380.37
11/2/2021,3,6, 85 ,189.14
11/2/2021,3,6, 76 ,1979
11/2/2021,11,6, 72 ,641.2
11/2/2021,12,6, 77 ,812.48
11/2/2021,13,6, 68 ,211.78
11/2/2021,12,1, 83 ,180.89
11/2/2021,7,1, 65 ,915
11/2/2021,7,1, 78 ,394
11/2/2021,13,2, 89 ,119.39
11/2/2021,13,2, 80 ,692.4
11/2/2021,8,2, 85 ,160.2
11/2/2021,8,2, 65 ,510.18
11/2/2021,11,4, 83 ,141.61
11/2/2021,11,4, 62 ,2369.18
11/2/2021,11,2, 60 ,7940.27
11/2/2021,6,4, 69 ,20.7
11/2/2021,6,3, 84 ,103
11/2/2021,6,2, 80 ,264.62
11/3/2021,8,6, 54 ,2261.54
11/3/2021,8,6, 92 ,563.21
11/3/2021,7,6, 101 ,819886.2
11/3/2021,7,6, 52 ,55140.68
11/3/2021,7,6, 69 ,59
11/3/2021,7,6, 57 ,24114
11/3/2021,7,6, 53 ,24114
11/3/2021,5,6, 80 ,1081
11/3/2021,4,6, 101 ,488002.81
11/3/2021,4,6, 94 ,32063
11/3/2021,4,6, 69 ,96
11/3/2021,4,6, 71 ,152
11/3/2021,3,6, 81 ,683
11/3/2021,3,6, 74 ,244
11/3/2021,6,6, 57 ,11907.3
11/3/2021,6,6, 60 ,17728
11/3/2021,11,6, 56 ,176779.58
11/3/2021,11,6, 76 ,5364.69
11/3/2021,11,6, 73 ,234.81
11/3/2021,11,6, 61 ,1996.54
11/3/2021,12,6, 62 ,4937.13
11/3/2021,12,6, 60 ,49678.47
11/3/2021,12,6, 83 ,188
11/3/2021,13,6, 101 ,253436.18
11/3/2021,13,6, 82 ,36.79
11/3/2021,13,1, 91 ,83.04
11/3/2021,13,1, 85 ,63.69
11/3/2021,12,1, 89 ,164.56
11/3/2021,12,1, 76 ,432.63
11/3/2021,12,1, 71 ,78.76
11/3/2021,11,1, 60 ,42660.65
11/3/2021,7,1, 84 ,340.2
11/3/2021,6,1, 85 ,105
11/3/2021,6,1, 82 ,36.72
11/3/2021,6,1, 83 ,125
11/3/2021,6,1, 78 ,134
11/3/2021,5,1, 81 ,739.2
11/3/2021,5,1, 69 ,75.66
11/3/2021,5,1, 60 ,61438
11/3/2021,5,1, 60 ,61438
11/3/2021,8,1, 66 ,2018.84
11/3/2021,8,1, 60 ,110499.3
11/3/2021,8,1, 61 ,12036.15
11/3/2021,8,1, 83 ,596.55
11/3/2021,8,1, 78 ,613.21
11/3/2021,3,1, 69 ,114.4
11/3/2021,3,1, 83 ,417
11/3/2021,13,2, 91 ,153.03
11/3/2021,13,2, 71 ,40.33
11/3/2021,13,2, 68 ,113.53
11/3/2021,12,2, 92 ,109.91
11/3/2021,12,2, 84 ,54.73
11/3/2021,12,2, 90 ,56.08
11/3/2021,12,2, 92 ,74.16
11/3/2021,8,2, 94 ,201.77
11/3/2021,8,2, 91 ,224.04
11/3/2021,3,7, 83 ,94
11/3/2021,11,4, 84 ,136.87
11/3/2021,11,4, 73 ,290.16
11/3/2021,11,4, 60 ,27114.89
11/3/2021,11,2, 65 ,166.13
11/3/2021,11,2, 83 ,62.4
11/3/2021,11,2, 68 ,40.12
11/3/2021,11,3, 91 ,218.41
11/3/2021,11,3, 82 ,48.52
11/3/2021,6,4, 62 ,1128.9
11/3/2021,6,4, 89 ,141.94
11/3/2021,6,3, 77 ,501.38
11/3/2021,6,5, 76 ,123
