Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
7/1/2022,7,6, 52 ,19715
7/1/2022,5,6, 57 ,7147.58
7/1/2022,4,6, 61 ,5882
7/1/2022,3,6, 81 ,583.68
7/1/2022,3,6, 71 ,127
7/1/2022,6,6, 101 ,279740
7/1/2022,11,6, 54 ,455.02
7/1/2022,12,6, 53 ,8212.22
7/1/2022,12,6, 94 ,11093.52
7/1/2022,13,6, 62 ,2532.7
7/1/2022,13,1, 65 ,329.47
7/1/2022,11,1, 90 ,379.54
7/1/2022,11,1, 67 ,451.8
7/1/2022,8,1, 74 ,573.55
7/1/2022,8,1, 84 ,414.73
7/1/2022,8,1, 81 ,1319.29
7/1/2022,12,2, 60 ,14328.8
7/1/2022,3,7, 76 ,134.26
7/1/2022,3,7, 73 ,98
7/1/2022,11,3, 91 ,146.59
7/1/2022,6,4, 89 ,168
7/1/2022,6,4, 78 ,92
7/1/2022,6,3, 85 ,123
7/1/2022,6,3, 83 ,145.7
7/1/2022,6,3, 82 ,45.32
7/1/2022,6,5, 71 ,26.4
7/1/2022,6,2, 83 ,54
7/1/2022,6,2, 66 ,149.94
