Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
6/2/2020,8,6, 83 ,100
6/2/2020,7,6, 57 ,24500
6/2/2020,5,6, 90 ,162
6/2/2020,4,6, 65 ,480
6/2/2020,4,6, 57 ,900
6/2/2020,3,6, 61 ,1600
6/2/2020,3,6, 66 ,264
6/2/2020,6,6, 94 ,2421.12
6/2/2020,6,6, 72 ,380
6/2/2020,7,1, 84 ,148
6/2/2020,6,1, 76 ,280
6/2/2020,5,1, 66 ,480
6/2/2020,8,1, 77 ,750
6/2/2020,3,7, 87 ,180
6/3/2020,8,6, 90 ,240.12
6/3/2020,8,6, 77 ,634.43
6/3/2020,8,6, 56 ,175858.9
6/3/2020,7,6, 71 ,80
6/3/2020,7,6, 73 ,300
6/3/2020,7,6, 71 ,45
6/3/2020,5,6, 89 ,107.1
6/3/2020,5,6, 69 ,42.9
6/3/2020,5,6, 87 ,550
6/3/2020,5,6, 68 ,132
6/3/2020,4,6, 91 ,188
6/3/2020,4,6, 62 ,3141
6/3/2020,3,6, 83 ,76
6/3/2020,3,6, 82 ,20
6/3/2020,6,6, 69 ,23.5
6/3/2020,6,6, 101 ,198366
6/3/2020,6,6, 78 ,122
6/3/2020,5,1, 94 ,253.44
6/3/2020,8,1, 89 ,194
6/3/2020,3,1, 76 ,297
6/3/2020,3,1, 66 ,420
6/3/2020,3,1, 84 ,100
6/3/2020,7,1, 78 ,200
6/3/2020,6,1, 67 ,200
6/3/2020,4,1, 68 ,200
6/3/2020,8,2, 73 ,245.03
6/3/2020,8,2, 60 ,26763.7
6/3/2020,6,4, 87 ,410
6/3/2020,6,3, 60 ,28500
6/3/2020,6,5, 66 ,165
6/3/2020,6,2, 80 ,200
6/4/2020,8,6, 71 ,60.17
6/4/2020,8,6, 66 ,337.45
6/4/2020,8,6, 53 ,22999.99
6/4/2020,7,6, 89 ,164.78
6/4/2020,7,6, 53 ,33700
6/4/2020,7,6, 68 ,112
6/4/2020,7,6, 87 ,630
6/4/2020,5,6, 68 ,200
6/4/2020,5,6, 87 ,540
6/4/2020,4,6, 72 ,348
6/4/2020,6,6, 90 ,201
6/4/2020,7,1, 92 ,276.21
6/4/2020,7,1, 90 ,223
6/4/2020,5,1, 60 ,43056
6/4/2020,4,1, 92 ,356.04
6/4/2020,4,1, 90 ,310.3
6/4/2020,4,1, 90 ,290
6/4/2020,4,1, 65 ,650
6/4/2020,8,1, 81 ,842.01
6/4/2020,8,1, 68 ,200
6/4/2020,8,2, 92 ,242.42
6/4/2020,8,2, 78 ,100
6/4/2020,8,2, 61 ,1600
6/4/2020,3,7, 69 ,7.84
6/4/2020,3,7, 83 ,47
6/4/2020,6,4, 94 ,75.9
6/4/2020,6,4, 73 ,220
6/4/2020,6,3, 71 ,51
6/4/2020,6,3, 87 ,585
6/5/2020,8,6, 69 ,31.48
6/5/2020,8,6, 71 ,50
6/5/2020,8,6, 60 ,19100
6/5/2020,8,6, 67 ,175.33
6/5/2020,8,6, 91 ,203.46
6/5/2020,7,6, 66 ,286
6/5/2020,7,6, 57 ,20380
6/5/2020,5,6, 92 ,209.52
6/5/2020,5,6, 85 ,101
6/5/2020,5,6, 73 ,300
6/5/2020,4,6, 84 ,156
6/5/2020,3,6, 90 ,187.15
6/5/2020,3,6, 77 ,280
6/5/2020,3,6, 84 ,70
6/5/2020,3,6, 89 ,128
6/5/2020,6,6, 101 ,178500
6/5/2020,6,6, 81 ,280
6/5/2020,6,6, 56 ,95000
6/5/2020,6,6, 61 ,1971
6/5/2020,7,1, 67 ,312
6/5/2020,6,1, 66 ,312
6/5/2020,5,1, 71 ,70
