Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
12/1/2020,8,6, 72 ,2209.5
12/1/2020,8,6, 71 ,75.89
12/1/2020,8,6, 90 ,273.81
12/1/2020,7,6, 57 ,23863
12/1/2020,5,6, 65 ,407.56
12/1/2020,11,1, 85 ,65.91
12/1/2020,4,1, 94 ,254.43
12/1/2020,4,1, 83 ,180.25
12/1/2020,8,1, 90 ,357.56
12/1/2020,8,1, 77 ,1031.63
12/1/2020,3,1, 77 ,1258.56
12/1/2020,3,1, 91 ,426
12/1/2020,8,2, 91 ,139.83
12/1/2020,3,7, 68 ,58.32
12/1/2020,3,7, 67 ,70
12/1/2020,11,4, 69 ,17.1
12/1/2020,11,4, 68 ,64.52
12/2/2020,8,6, 82 ,45.02
12/2/2020,4,6, 87 ,537.54
12/2/2020,4,6, 60 ,33584
12/2/2020,3,6, 52 ,17710.26
12/2/2020,3,6, 90 ,261
12/2/2020,6,6, 61 ,2505
12/2/2020,11,6, 89 ,111.4
12/2/2020,12,6, 66 ,38.79
12/2/2020,12,6, 84 ,9.27
12/2/2020,12,6, 74 ,39.06
12/2/2020,11,1, 73 ,152.94
12/2/2020,11,1, 61 ,3016.77
12/2/2020,7,1, 80 ,1105.77
12/2/2020,6,1, 84 ,60
12/2/2020,8,1, 76 ,758.86
12/2/2020,8,1, 69 ,98.42
12/2/2020,3,1, 62 ,7078.16
12/2/2020,3,1, 73 ,644
12/2/2020,11,4, 61 ,823.11
12/2/2020,11,2, 82 ,5.95
12/2/2020,11,3, 77 ,144.08
12/2/2020,11,3, 68 ,42.24
12/2/2020,11,3, 87 ,96.51
12/2/2020,6,4, 61 ,1404.81
12/2/2020,6,3, 67 ,118
12/3/2020,8,6, 73 ,229.53
12/3/2020,8,6, 71 ,41.67
12/3/2020,8,6, 66 ,237.19
12/3/2020,8,6, 72 ,1782.93
12/3/2020,5,6, 81 ,558.08
12/3/2020,5,6, 72 ,344.44
12/3/2020,5,6, 56 ,130264
12/3/2020,5,6, 73 ,371
12/3/2020,4,6, 73 ,228.41
12/3/2020,4,6, 68 ,135
12/3/2020,3,6, 67 ,320.76
12/3/2020,3,6, 61 ,4484.74
12/3/2020,3,6, 56 ,79105
12/3/2020,6,6, 89 ,174.6
12/3/2020,6,6, 85 ,78.75
12/3/2020,6,6, 72 ,140.43
12/3/2020,11,6, 53 ,4463.73
12/3/2020,11,6, 80 ,318.85
12/3/2020,11,6, 101 ,112775.2
12/3/2020,12,6, 81 ,32.67
12/3/2020,12,6, 80 ,51.82
12/3/2020,12,1, 85 ,5.73
12/3/2020,11,1, 87 ,407.62
12/3/2020,11,1, 76 ,168.85
12/3/2020,7,1, 91 ,304.11
12/3/2020,6,1, 90 ,216
12/3/2020,5,1, 85 ,106.05
12/3/2020,5,1, 66 ,386.34
12/3/2020,4,1, 87 ,794.43
12/3/2020,4,1, 68 ,155
12/3/2020,8,1, 84 ,360.81
12/3/2020,8,1, 68 ,356.45
12/3/2020,8,1, 89 ,387.45
12/3/2020,3,1, 91 ,475.28
12/3/2020,3,1, 60 ,101420.8
12/3/2020,3,1, 66 ,808.08
12/3/2020,12,2, 77 ,28.36
12/3/2020,12,2, 83 ,6.08
12/3/2020,8,2, 90 ,240.48
12/3/2020,8,2, 61 ,6749.69
12/3/2020,3,7, 69 ,12.24
12/3/2020,11,5, 66 ,61.4
12/3/2020,11,5, 80 ,122.04
12/3/2020,11,2, 92 ,49.7
12/3/2020,11,2, 91 ,29.03
12/3/2020,11,3, 80 ,145.07
12/3/2020,11,3, 76 ,59.27
12/3/2020,11,3, 89 ,33.74
12/3/2020,11,3, 69 ,10.33
