Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
2/2/2022,7,6, 83 ,222
2/2/2022,5,6, 68 ,304
2/2/2022,4,6, 69 ,112.36
2/2/2022,3,6, 84 ,184.8
2/2/2022,3,6, 74 ,301
2/2/2022,11,6, 81 ,461.41
2/2/2022,12,6, 84 ,274.67
2/2/2022,12,6, 84 ,174.17
2/2/2022,12,6, 73 ,310.34
2/2/2022,13,6, 72 ,554.05
2/2/2022,12,1, 91 ,108.81
2/2/2022,7,1, 92 ,666
2/2/2022,8,1, 94 ,411.45
2/2/2022,8,1, 94 ,457.15
2/2/2022,3,1, 81 ,904.36
2/2/2022,3,1, 76 ,892.52
2/2/2022,3,1, 91 ,468
2/2/2022,13,2, 82 ,48.62
2/2/2022,3,7, 94 ,11
2/2/2022,11,3, 94 ,210.59
2/2/2022,11,3, 78 ,129.48
2/2/2022,6,5, 92 ,265
2/2/2022,6,5, 68 ,71
2/2/2022,6,2, 65 ,69.76
2/3/2022,8,6, 94 ,39716.73
2/3/2022,8,6, 101 ,584786.22
2/3/2022,8,6, 82 ,63.2
2/3/2022,7,6, 72 ,1504.42
2/3/2022,7,6, 72 ,1406
2/3/2022,7,6, 56 ,172099
2/3/2022,5,6, 69 ,90.78
2/3/2022,5,6, 57 ,5395.6
2/3/2022,5,6, 77 ,1105
2/3/2022,4,6, 52 ,9963.36
2/3/2022,4,6, 76 ,3579
2/3/2022,3,6, 60 ,48280.68
2/3/2022,11,6, 92 ,550.13
2/3/2022,11,6, 72 ,1940.64
2/3/2022,11,6, 65 ,465.66
2/3/2022,11,6, 72 ,1400.79
2/3/2022,12,6, 92 ,347.57
2/3/2022,12,6, 90 ,260.34
2/3/2022,13,6, 53 ,4850.47
2/3/2022,13,1, 68 ,134.19
2/3/2022,13,1, 89 ,132.83
2/3/2022,12,1, 69 ,68.09
2/3/2022,12,1, 67 ,314.7
2/3/2022,11,1, 66 ,619.92
2/3/2022,7,1, 91 ,414.96
2/3/2022,7,1, 76 ,918
2/3/2022,4,1, 80 ,1722.72
2/3/2022,4,1, 65 ,918
2/3/2022,8,1, 91 ,509.43
2/3/2022,8,1, 60 ,83358.69
2/3/2022,3,1, 65 ,1241.65
2/3/2022,13,2, 60 ,26265.58
2/3/2022,3,7, 81 ,210.56
2/3/2022,3,7, 62 ,1673
2/3/2022,11,5, 89 ,56.06
2/3/2022,11,5, 74 ,376.43
2/3/2022,11,5, 65 ,153.23
2/3/2022,11,5, 89 ,36.93
2/3/2022,11,4, 81 ,386.78
2/3/2022,11,4, 67 ,225.04
2/3/2022,11,4, 73 ,199.7
2/3/2022,11,4, 62 ,1744.41
2/3/2022,11,2, 80 ,297.88
2/3/2022,11,3, 90 ,240.15
2/3/2022,11,3, 67 ,170.45
2/3/2022,6,4, 87 ,357.41
2/3/2022,6,4, 67 ,127
2/3/2022,6,4, 66 ,256
2/3/2022,6,3, 80 ,719.28
2/3/2022,6,3, 68 ,105
2/3/2022,6,3, 67 ,137
2/3/2022,6,2, 74 ,95
2/4/2022,7,6, 101 ,703315
2/4/2022,7,6, 71 ,128
2/4/2022,5,6, 92 ,503.5
2/4/2022,5,6, 67 ,451
2/4/2022,5,6, 89 ,259
2/4/2022,5,6, 74 ,405
2/4/2022,4,6, 85 ,194
2/4/2022,3,6, 67 ,298.9
2/4/2022,3,6, 84 ,168
2/4/2022,6,6, 101 ,206082.24
2/4/2022,6,6, 89 ,200
2/4/2022,6,6, 65 ,221
2/4/2022,6,6, 62 ,1235
2/4/2022,11,6, 101 ,864443.61
2/4/2022,11,6, 89 ,282.62
2/4/2022,11,6, 82 ,49.7
