Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
1/2/2020,8,6, 72 ,750
1/2/2020,4,6, 62 ,2300
1/2/2020,4,6, 65 ,616
1/2/2020,6,6, 85 ,80
1/2/2020,6,6, 52 ,10600
1/2/2020,5,1, 84 ,130
1/2/2020,8,1, 74 ,323.81
1/2/2020,5,1, 74 ,200
1/2/2020,8,2, 87 ,410.18
1/2/2020,8,2, 76 ,229.87
1/2/2020,8,2, 68 ,80
1/2/2020,8,2, 65 ,200
1/2/2020,3,7, 90 ,85
1/2/2020,6,4, 62 ,1400
1/2/2020,6,2, 91 ,104.03
1/2/2020,6,2, 61 ,850
1/3/2020,8,6, 72 ,1193.53
1/3/2020,4,6, 90 ,228.98
1/3/2020,3,6, 65 ,200
1/3/2020,3,6, 67 ,88
1/3/2020,3,6, 77 ,331
1/3/2020,6,6, 81 ,280
1/3/2020,6,6, 80 ,480
1/3/2020,6,6, 56 ,41300
1/3/2020,6,6, 81 ,246
1/3/2020,6,6, 65 ,234
1/3/2020,6,1, 92 ,395.67
1/3/2020,6,1, 85 ,100
1/3/2020,5,1, 89 ,127
1/3/2020,4,1, 78 ,280
1/3/2020,3,1, 94 ,248.32
1/3/2020,3,1, 78 ,172
1/3/2020,3,1, 65 ,585
1/3/2020,3,1, 68 ,100
1/3/2020,4,1, 74 ,200
1/3/2020,8,2, 85 ,93.51
1/3/2020,8,2, 87 ,380
1/3/2020,3,7, 92 ,121.98
1/3/2020,3,7, 84 ,30
1/3/2020,3,7, 92 ,114
1/3/2020,3,7, 77 ,100
1/3/2020,6,3, 76 ,280
1/3/2020,6,5, 73 ,120
1/3/2020,6,5, 77 ,200
1/3/2020,6,2, 68 ,60
1/3/2020,6,3, 83 ,100
1/4/2020,8,6, 84 ,95.02
1/4/2020,7,6, 66 ,380
1/4/2020,7,6, 83 ,191
1/4/2020,4,6, 94 ,4945.06
1/4/2020,3,6, 76 ,750
1/4/2020,3,6, 56 ,61500
1/4/2020,3,6, 71 ,40
1/4/2020,6,6, 57 ,2813
1/4/2020,7,1, 91 ,264.96
1/4/2020,7,1, 78 ,280
1/4/2020,6,1, 94 ,84.39
1/4/2020,6,1, 82 ,38
1/4/2020,5,1, 76 ,339
1/4/2020,5,1, 60 ,31000
1/4/2020,5,1, 76 ,380
1/4/2020,4,1, 83 ,220
1/4/2020,8,1, 80 ,750
1/4/2020,5,1, 83 ,200
1/4/2020,8,2, 94 ,132.83
1/4/2020,8,2, 73 ,195.02
1/4/2020,3,7, 94 ,51.52
1/4/2020,3,7, 91 ,74.8
1/4/2020,3,7, 80 ,100
1/4/2020,3,7, 69 ,7
1/4/2020,3,7, 83 ,33
1/4/2020,6,4, 90 ,194.02
1/4/2020,6,4, 91 ,142
1/4/2020,6,4, 87 ,410
1/4/2020,6,4, 83 ,80
1/4/2020,6,3, 90 ,248.4
1/4/2020,6,3, 81 ,401
1/4/2020,6,5, 69 ,13.26
1/4/2020,6,5, 92 ,100
1/5/2020,8,6, 67 ,100
1/5/2020,8,6, 78 ,141.99
1/5/2020,8,6, 62 ,1323.83
1/5/2020,7,6, 78 ,220
1/5/2020,5,6, 80 ,650
1/5/2020,4,6, 81 ,480
1/5/2020,4,6, 63 ,5900
1/5/2020,4,6, 65 ,550
1/5/2020,3,6, 52 ,4000
1/5/2020,6,6, 62 ,1100
1/5/2020,6,6, 101 ,151900
1/5/2020,6,6, 57 ,2400
1/5/2020,6,6, 101 ,168821
1/5/2020,6,6, 83 ,86
1/5/2020,6,6, 84 ,73
1/5/2020,7,1, 91 ,288
1/5/2020,7,1, 89 ,234
1/5/2020,7,1, 68 ,280
