Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
6/2/2021,8,6, 80 ,746.67
6/2/2021,8,6, 81 ,513.21
6/2/2021,7,6, 77 ,818
6/2/2021,7,6, 56 ,143267
6/2/2021,4,6, 56 ,31370
6/2/2021,4,6, 61 ,2757
6/2/2021,3,6, 83 ,220.77
6/2/2021,3,6, 81 ,637
6/2/2021,3,6, 68 ,190
6/2/2021,6,6, 52 ,12537
6/2/2021,11,6, 60 ,20425.61
6/2/2021,11,6, 67 ,80.55
6/2/2021,12,1, 60 ,3015.92
6/2/2021,6,1, 60 ,18309.6
6/2/2021,5,1, 85 ,118.56
6/2/2021,8,1, 71 ,95.9
6/2/2021,12,2, 74 ,34.58
6/2/2021,12,2, 62 ,62.46
6/2/2021,8,2, 83 ,179.87
6/2/2021,11,5, 67 ,39.88
6/2/2021,11,4, 77 ,140.12
6/2/2021,6,3, 84 ,109
6/2/2021,6,2, 69 ,3.72
6/3/2021,8,6, 84 ,151.41
6/3/2021,8,6, 69 ,45.02
6/3/2021,7,6, 101 ,558132.72
6/3/2021,7,6, 60 ,54879.66
6/3/2021,7,6, 89 ,185.28
6/3/2021,7,6, 54 ,7450
6/3/2021,7,6, 77 ,818
6/3/2021,5,6, 77 ,648.55
6/3/2021,4,6, 71 ,51.3
6/3/2021,4,6, 67 ,151.34
6/3/2021,4,6, 81 ,307
6/3/2021,3,6, 74 ,361.8
6/3/2021,3,6, 52 ,7029.75
6/3/2021,3,6, 87 ,900
6/3/2021,6,6, 71 ,44.29
6/3/2021,6,6, 83 ,95
6/3/2021,11,6, 84 ,76.11
6/3/2021,12,1, 77 ,38.19
6/3/2021,11,1, 90 ,297.66
6/3/2021,11,1, 73 ,155.61
6/3/2021,11,1, 66 ,178.89
6/3/2021,11,1, 73 ,122.04
6/3/2021,11,1, 76 ,168.85
6/3/2021,7,1, 62 ,5294.36
6/3/2021,7,1, 74 ,359.08
6/3/2021,7,1, 61 ,7068
6/3/2021,7,1, 77 ,1069
6/3/2021,7,1, 85 ,245
6/3/2021,6,1, 91 ,191.53
6/3/2021,4,1, 76 ,473
6/3/2021,4,1, 78 ,253
6/3/2021,8,1, 83 ,376.37
6/3/2021,8,1, 67 ,339.12
6/3/2021,8,1, 87 ,1522.2
6/3/2021,3,1, 80 ,1520.76
6/3/2021,12,2, 61 ,143.54
6/3/2021,12,2, 74 ,26.29
6/3/2021,8,2, 90 ,237.45
6/3/2021,8,2, 92 ,316.24
6/3/2021,11,5, 65 ,98.25
6/3/2021,11,5, 68 ,24.16
6/3/2021,11,5, 65 ,67.78
6/3/2021,11,2, 68 ,17.62
6/3/2021,11,3, 90 ,80.55
6/3/2021,6,4, 71 ,17.12
6/3/2021,6,4, 91 ,171
6/3/2021,6,4, 90 ,214
6/3/2021,6,3, 61 ,2786.16
6/3/2021,6,5, 67 ,58.32
6/3/2021,6,5, 71 ,18
6/3/2021,6,5, 61 ,1360
6/3/2021,6,2, 66 ,39
6/4/2021,8,6, 68 ,136.12
6/4/2021,8,6, 81 ,520.42
6/4/2021,7,6, 65 ,648.72
6/4/2021,7,6, 60 ,55434
6/4/2021,5,6, 67 ,206.01
6/4/2021,5,6, 80 ,625.17
6/4/2021,5,6, 89 ,163
6/4/2021,3,6, 77 ,803.7
6/4/2021,3,6, 89 ,175.78
6/4/2021,3,6, 68 ,199.5
6/4/2021,3,6, 69 ,54
6/4/2021,11,6, 91 ,184.6
6/4/2021,11,6, 69 ,18.84
6/4/2021,12,1, 80 ,33.74
6/4/2021,11,1, 67 ,109.05
6/4/2021,7,1, 80 ,1305.6
6/4/2021,7,1, 91 ,337.62
