Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
2/2/2020,7,6, 63 ,31251
2/2/2020,5,6, 60 ,27440
2/2/2020,4,6, 52 ,18200
2/2/2020,3,6, 56 ,79100
2/2/2020,6,6, 77 ,438
2/2/2020,7,1, 89 ,137.41
2/2/2020,7,1, 74 ,215
2/2/2020,6,1, 60 ,25506
2/2/2020,4,1, 80 ,1197
2/2/2020,4,1, 90 ,327
2/2/2020,4,1, 65 ,888
2/2/2020,8,1, 69 ,84.42
2/2/2020,3,1, 78 ,100
2/2/2020,8,2, 91 ,139.83
2/2/2020,3,7, 85 ,30
2/2/2020,6,5, 77 ,304
2/2/2020,6,5, 66 ,218
2/2/2020,6,5, 60 ,8700
2/2/2020,6,5, 62 ,650
2/2/2020,6,2, 90 ,109
2/3/2020,8,6, 73 ,166.24
2/3/2020,7,6, 91 ,178
2/3/2020,5,6, 52 ,16100
2/3/2020,5,6, 80 ,668
2/3/2020,5,6, 69 ,46
2/3/2020,3,6, 84 ,78
2/3/2020,3,6, 71 ,24
2/3/2020,3,6, 87 ,360
2/3/2020,6,6, 89 ,135
2/3/2020,6,6, 84 ,80
2/3/2020,6,6, 76 ,1500
2/3/2020,7,1, 85 ,144
2/3/2020,7,1, 82 ,51
2/3/2020,6,1, 85 ,122
2/3/2020,5,1, 78 ,216
2/3/2020,5,1, 87 ,650
2/3/2020,8,1, 89 ,195.02
2/3/2020,8,1, 77 ,1011.71
2/3/2020,3,1, 85 ,91
2/3/2020,3,1, 73 ,300
2/3/2020,3,1, 65 ,380
2/3/2020,8,2, 92 ,205.34
2/3/2020,8,2, 78 ,100
2/3/2020,8,2, 81 ,280
2/3/2020,8,2, 66 ,200
2/3/2020,8,2, 81 ,385.94
2/3/2020,3,7, 66 ,70
2/3/2020,3,7, 65 ,75
2/3/2020,6,4, 89 ,98
2/3/2020,6,3, 92 ,404.8
2/3/2020,6,3, 65 ,358
2/3/2020,6,3, 81 ,380
2/3/2020,6,5, 78 ,90
2/3/2020,6,5, 71 ,40
2/3/2020,6,2, 73 ,111
2/3/2020,6,2, 60 ,10088
2/3/2020,6,2, 82 ,20
2/3/2020,6,3, 83 ,100
2/4/2020,7,6, 57 ,26042
2/4/2020,7,6, 54 ,5
2/4/2020,5,6, 61 ,2195
2/4/2020,5,6, 57 ,15991
2/4/2020,4,6, 89 ,141.94
2/4/2020,4,6, 84 ,200
2/4/2020,4,6, 53 ,17100
2/4/2020,4,6, 85 ,140
2/4/2020,4,6, 68 ,161
2/4/2020,3,6, 83 ,90
2/4/2020,6,6, 69 ,37
2/4/2020,6,1, 92 ,424
2/4/2020,6,1, 62 ,1530
2/4/2020,6,1, 61 ,2551
2/4/2020,6,1, 81 ,380
2/4/2020,5,1, 84 ,160
2/4/2020,4,1, 84 ,218
2/4/2020,8,1, 81 ,669.28
2/4/2020,3,1, 69 ,46.87
2/4/2020,3,1, 77 ,520
2/4/2020,3,1, 60 ,20900
2/4/2020,3,7, 84 ,30
2/4/2020,6,3, 87 ,550
2/4/2020,6,5, 65 ,241
2/4/2020,6,5, 85 ,58
2/4/2020,6,5, 83 ,72
2/4/2020,6,2, 92 ,145
2/4/2020,6,2, 76 ,131
2/5/2020,8,6, 101 ,453000
2/5/2020,8,6, 83 ,80
2/5/2020,8,6, 89 ,90.48
2/5/2020,7,6, 90 ,244.2
2/5/2020,7,6, 66 ,380
2/5/2020,7,6, 81 ,468
2/5/2020,7,6, 66 ,426
2/5/2020,4,6, 82 ,50
2/5/2020,4,6, 73 ,300
2/5/2020,3,6, 74 ,104
2/5/2020,6,6, 68 ,100
2/5/2020,6,6, 63 ,6500
