Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
10/1/2020,7,6, 83 ,248.4
10/1/2020,7,6, 63 ,52006.24
10/1/2020,5,6, 76 ,3276
10/1/2020,5,6, 56 ,144604
10/1/2020,4,6, 91 ,243.8
10/1/2020,4,6, 74 ,306.74
10/1/2020,4,6, 81 ,395
10/1/2020,4,6, 60 ,33933
10/1/2020,3,6, 81 ,561.6
10/1/2020,6,6, 77 ,258.52
10/1/2020,11,6, 81 ,128.42
10/1/2020,11,6, 68 ,58.21
10/1/2020,11,6, 54 ,2698.68
10/1/2020,12,6, 60 ,3599.24
10/1/2020,12,6, 77 ,37.99
10/1/2020,12,1, 74 ,33.74
10/1/2020,12,1, 67 ,11.4
10/1/2020,11,1, 67 ,109.27
10/1/2020,7,1, 82 ,73
10/1/2020,8,1, 74 ,582.59
10/1/2020,8,1, 65 ,978.84
10/1/2020,8,1, 78 ,378.36
10/1/2020,3,1, 71 ,187
10/1/2020,12,2, 89 ,44.97
10/1/2020,12,2, 67 ,11.21
10/1/2020,12,2, 65 ,18.84
10/1/2020,8,2, 73 ,329.3
10/1/2020,8,2, 85 ,125.33
10/1/2020,11,4, 60 ,13232.92
10/1/2020,11,3, 66 ,68.85
10/1/2020,6,4, 78 ,78
10/1/2020,6,4, 83 ,64
10/1/2020,6,3, 76 ,208
10/1/2020,6,3, 73 ,150
10/1/2020,6,5, 60 ,15678.42
10/2/2020,8,6, 101 ,591318.59
10/2/2020,8,6, 65 ,432.91
10/2/2020,7,6, 91 ,187
10/2/2020,5,6, 61 ,3939
10/2/2020,4,6, 72 ,517.04
10/2/2020,4,6, 66 ,250.04
10/2/2020,4,6, 74 ,203
10/2/2020,6,6, 74 ,131
10/2/2020,11,6, 57 ,8771.88
10/2/2020,12,6, 71 ,9.01
10/2/2020,12,6, 85 ,18.44
10/2/2020,7,1, 89 ,205.44
10/2/2020,7,1, 81 ,687.73
10/2/2020,7,1, 74 ,325
10/2/2020,7,1, 78 ,302
10/2/2020,6,1, 90 ,349
10/2/2020,8,1, 94 ,473.82
10/2/2020,8,2, 65 ,364.72
10/2/2020,11,5, 90 ,35.87
10/2/2020,11,5, 73 ,17.78
10/2/2020,11,4, 82 ,16.72
10/2/2020,11,4, 68 ,39.06
10/2/2020,11,3, 81 ,101.82
10/2/2020,11,3, 62 ,999.71
10/2/2020,6,4, 61 ,1992
10/2/2020,6,5, 82 ,14.3
10/2/2020,6,5, 66 ,122.76
10/2/2020,6,2, 67 ,47
10/3/2020,8,6, 92 ,325.33
10/3/2020,7,6, 83 ,174.07
10/3/2020,7,6, 76 ,2573
10/3/2020,5,6, 82 ,53
10/3/2020,5,6, 62 ,3899.61
10/3/2020,5,6, 85 ,147
10/3/2020,4,6, 94 ,25145
10/3/2020,4,6, 60 ,35682
10/3/2020,3,6, 91 ,220.32
10/3/2020,3,6, 72 ,448.2
10/3/2020,3,6, 68 ,206
10/3/2020,3,6, 67 ,272.7
10/3/2020,6,6, 53 ,10905.3
10/3/2020,6,6, 65 ,189
10/3/2020,11,6, 77 ,320.93
10/3/2020,11,6, 69 ,23.36
10/3/2020,11,6, 87 ,288
10/3/2020,12,6, 66 ,39.06
10/3/2020,12,1, 78 ,9.84
10/3/2020,11,1, 78 ,83.74
10/3/2020,7,1, 89 ,192
10/3/2020,6,1, 71 ,56.7
10/3/2020,6,1, 77 ,432
10/3/2020,8,1, 78 ,372.55
10/3/2020,8,1, 76 ,600.49
10/3/2020,8,1, 85 ,251.09
10/3/2020,3,1, 66 ,715.76
10/3/2020,8,2, 82 ,29.89
10/3/2020,8,2, 76 ,251.11
