Title,PPF Corporation Actuals Data Extract,,,
Date Extracted,8/1/2022,,,
Extracted By,Helen Jones (Finance Manager),,,
,,,,
DateKey,OrganizationKey,DepartmentKey, AccountKey ,Amount_LocalCCY
2/2/2021,8,6, 66 ,263.05
2/2/2021,7,6, 91 ,174.8
2/2/2021,5,6, 68 ,194.88
2/2/2021,4,6, 83 ,147.9
2/2/2021,4,6, 74 ,219
2/2/2021,6,6, 73 ,135.89
2/2/2021,6,6, 77 ,327.54
2/2/2021,12,6, 77 ,53.4
2/2/2021,12,6, 87 ,48.63
2/2/2021,4,1, 78 ,247
2/2/2021,8,1, 60 ,88280.78
2/2/2021,3,1, 77 ,1473.93
2/2/2021,11,4, 80 ,235.87
2/2/2021,11,3, 60 ,17477.52
2/2/2021,6,5, 74 ,121.03
2/2/2021,6,5, 85 ,46
2/3/2021,8,6, 83 ,169.27
2/3/2021,7,6, 94 ,97182.54
2/3/2021,7,6, 62 ,4999.38
2/3/2021,5,6, 91 ,249.29
2/3/2021,5,6, 81 ,512.04
2/3/2021,5,6, 63 ,7541.76
2/3/2021,5,6, 78 ,203
2/3/2021,4,6, 67 ,177.45
2/3/2021,3,6, 71 ,96.72
2/3/2021,6,6, 63 ,3221
2/3/2021,11,6, 94 ,8578.16
2/3/2021,11,6, 61 ,1583.46
2/3/2021,11,6, 85 ,54.15
2/3/2021,12,6, 53 ,262.28
2/3/2021,12,6, 76 ,37.53
2/3/2021,12,6, 68 ,10.91
2/3/2021,12,6, 68 ,9.27
2/3/2021,12,1, 61 ,291.84
2/3/2021,11,1, 66 ,146.09
2/3/2021,11,1, 77 ,226.3
2/3/2021,11,1, 60 ,16381.92
2/3/2021,7,1, 81 ,602.55
2/3/2021,6,1, 91 ,182.16
2/3/2021,5,1, 74 ,338.1
2/3/2021,5,1, 81 ,541.73
2/3/2021,5,1, 67 ,263
2/3/2021,5,1, 62 ,4307
2/3/2021,4,1, 62 ,4025.86
2/3/2021,4,1, 83 ,238.59
2/3/2021,4,1, 80 ,1051
2/3/2021,8,1, 94 ,505.79
2/3/2021,8,1, 83 ,334.11
2/3/2021,8,1, 61 ,9461.34
2/3/2021,8,2, 74 ,445
2/3/2021,8,2, 87 ,682.91
2/3/2021,11,5, 81 ,41.47
2/3/2021,11,4, 87 ,263.97
2/3/2021,11,4, 84 ,67.81
2/3/2021,11,2, 90 ,123.91
2/3/2021,11,3, 66 ,140.03
2/3/2021,11,3, 74 ,163.53
2/3/2021,6,4, 73 ,156.96
2/3/2021,6,4, 73 ,144
2/3/2021,6,4, 71 ,35
2/3/2021,6,4, 61 ,2472
2/3/2021,6,3, 87 ,454
2/3/2021,6,5, 92 ,261.36
2/3/2021,6,5, 82 ,16.48
2/3/2021,6,5, 77 ,218
2/3/2021,6,2, 61 ,807.5
2/4/2021,8,6, 74 ,297.69
2/4/2021,8,6, 61 ,4858.75
2/4/2021,5,6, 72 ,243.66
2/4/2021,5,6, 90 ,340.26
2/4/2021,5,6, 87 ,675
2/4/2021,5,6, 67 ,270
2/4/2021,4,6, 82 ,46.2
2/4/2021,4,6, 66 ,299.86
2/4/2021,4,6, 87 ,608.4
2/4/2021,4,6, 85 ,118.32
2/4/2021,3,6, 66 ,565
2/4/2021,3,6, 53 ,16540
2/4/2021,3,6, 52 ,18378
2/4/2021,6,6, 90 ,307
2/4/2021,6,6, 61 ,2273
2/4/2021,11,6, 62 ,1086.95
2/4/2021,11,6, 94 ,6130.66
2/4/2021,11,6, 57 ,4578.5
2/4/2021,11,6, 74 ,191.19
2/4/2021,11,6, 63 ,3662.53
2/4/2021,12,6, 85 ,15.51
2/4/2021,12,6, 65 ,28.7
2/4/2021,12,6, 80 ,61.4
2/4/2021,12,6, 62 ,175.23
2/4/2021,12,6, 56 ,3107.2
